gamePk,date,home,away,status
746735,2024-04-08T22:40:00Z,Cincinnati Reds,Milwaukee Brewers,Final
744956,2024-04-08T23:07:00Z,Toronto Blue Jays,Seattle Mariners,Final
747142,2024-04-08T23:20:00Z,Atlanta Braves,New York Mets,Final
745925,2024-04-08T23:40:00Z,Minnesota Twins,Los Angeles Dodgers,Final
745194,2024-04-08T23:45:00Z,St. Louis Cardinals,Philadelphia Phillies,Final
745034,2024-04-09T00:05:00Z,Texas Rangers,Houston Astros,Final
746569,2024-04-09T00:40:00Z,Colorado Rockies,Arizona Diamondbacks,Final
746252,2024-04-09T01:38:00Z,Los Angeles Angels,Tampa Bay Rays,Final
745432,2024-04-09T01:40:00Z,San Diego Padres,Chicago Cubs,Final
745363,2024-04-09T01:45:00Z,San Francisco Giants,Washington Nationals,Final
745517,2024-04-09T16:35:00Z,Pittsburgh Pirates,Detroit Tigers,Final
746981,2024-04-09T18:10:00Z,Boston Red Sox,Baltimore Orioles,Final
746653,2024-04-09T22:10:00Z,Cleveland Guardians,Chicago White Sox,Final
746732,2024-04-09T22:40:00Z,Cincinnati Reds,Milwaukee Brewers,Final
745762,2024-04-09T23:05:00Z,New York Yankees,Miami Marlins,Final
744957,2024-04-09T23:07:00Z,Toronto Blue Jays,Seattle Mariners,Final
747138,2024-04-09T23:20:00Z,Atlanta Braves,New York Mets,Final
746326,2024-04-09T23:40:00Z,Kansas City Royals,Houston Astros,Final
745924,2024-04-09T23:40:00Z,Minnesota Twins,Los Angeles Dodgers,Final
745195,2024-04-09T23:45:00Z,St. Louis Cardinals,Philadelphia Phillies,Final
745030,2024-04-10T00:05:00Z,Texas Rangers,Oakland Athletics,Final
746571,2024-04-10T00:40:00Z,Colorado Rockies,Arizona Diamondbacks,Final
746250,2024-04-10T01:38:00Z,Los Angeles Angels,Tampa Bay Rays,Final
745357,2024-04-10T01:45:00Z,San Francisco Giants,Washington Nationals,Final
745433,2024-04-10T02:05:00Z,San Diego Padres,Chicago Cubs,Final
745923,2024-04-10T17:10:00Z,Minnesota Twins,Los Angeles Dodgers,Final
745196,2024-04-10T17:15:00Z,St. Louis Cardinals,Philadelphia Phillies,Final
744950,2024-04-10T19:07:00Z,Toronto Blue Jays,Seattle Mariners,Final
746573,2024-04-10T19:10:00Z,Colorado Rockies,Arizona Diamondbacks,Final
745355,2024-04-10T19:45:00Z,San Francisco Giants,Washington Nationals,Final
746247,2024-04-10T20:07:00Z,Los Angeles Angels,Tampa Bay Rays,Final
746655,2024-04-10T22:10:00Z,Cleveland Guardians,Chicago White Sox,Final
745429,2024-04-10T22:40:00Z,San Diego Padres,Chicago Cubs,Final
746728,2024-04-10T22:40:00Z,Cincinnati Reds,Milwaukee Brewers,Final
745763,2024-04-10T23:05:00Z,New York Yankees,Miami Marlins,Final
746980,2024-04-10T23:10:00Z,Boston Red Sox,Baltimore Orioles,Final
746323,2024-04-10T23:40:00Z,Kansas City Royals,Houston Astros,Final
745024,2024-04-11T00:05:00Z,Texas Rangers,Oakland Athletics,Final
747139,2024-04-10T23:20:00Z,Atlanta Braves,New York Mets,Final
747137,2024-04-11T16:20:00Z,Atlanta Braves,New York Mets,Final
746322,2024-04-11T18:10:00Z,Kansas City Royals,Houston Astros,Final
745029,2024-04-11T18:35:00Z,Texas Rangers,Oakland Athletics,Final
745601,2024-04-11T22:40:00Z,Philadelphia Phillies,Pittsburgh Pirates,Final
746977,2024-04-11T23:10:00Z,Boston Red Sox,Baltimore Orioles,Final
746490,2024-04-11T17:10:00Z,Detroit Tigers,Minnesota Twins,Final
746730,2024-04-11T17:10:00Z,Cincinnati Reds,Milwaukee Brewers,Final
746491,2024-04-12T22:40:00Z,Detroit Tigers,Minnesota Twins,Final
745596,2024-04-12T22:40:00Z,Philadelphia Phillies,Pittsburgh Pirates,Final
745112,2024-04-12T22:50:00Z,Tampa Bay Rays,San Francisco Giants,Final
747055,2024-04-12T23:05:00Z,Baltimore Orioles,Milwaukee Brewers,Final
744954,2024-04-12T23:07:00Z,Toronto Blue Jays,Colorado Rockies,Final
746978,2024-04-12T23:10:00Z,Boston Red Sox,Los Angeles Angels,Final
745838,2024-04-12T23:10:00Z,New York Mets,Kansas City Royals,Final
746084,2024-04-12T23:10:00Z,Miami Marlins,Atlanta Braves,Final
746812,2024-04-12T23:40:00Z,Chicago White Sox,Cincinnati Reds,Final
746408,2024-04-13T00:10:00Z,Houston Astros,Texas Rangers,Final
745679,2024-04-13T01:40:00Z,Oakland Athletics,Washington Nationals,Final
745274,2024-04-13T01:40:00Z,Seattle Mariners,Chicago Cubs,Final
747217,2024-04-13T01:40:00Z,Arizona Diamondbacks,St. Louis Cardinals,Final
746162,2024-04-13T02:10:00Z,Los Angeles Dodgers,San Diego Padres,Final
746656,2024-04-12T23:10:00Z,Cleveland Guardians,New York Yankees,Final
746656,2024-04-13T16:10:00Z,Cleveland Guardians,New York Yankees,Final
746658,2024-04-13T22:10:00Z,Cleveland Guardians,New York Yankees,Final
746489,2024-04-13T17:10:00Z,Detroit Tigers,Minnesota Twins,Final
746490,2024-04-13T17:15:00Z,Detroit Tigers,Minnesota Twins,Final
745839,2024-04-13T17:40:00Z,New York Mets,Kansas City Royals,Final
746811,2024-04-13T18:10:00Z,Chicago White Sox,Cincinnati Reds,Final
744953,2024-04-13T19:07:00Z,Toronto Blue Jays,Colorado Rockies,Final
746405,2024-04-13T20:05:00Z,Houston Astros,Texas Rangers,Final
745594,2024-04-13T20:05:00Z,Philadelphia Phillies,Pittsburgh Pirates,Final
747054,2024-04-13T20:05:00Z,Baltimore Orioles,Milwaukee Brewers,Final
745676,2024-04-13T20:07:00Z,Oakland Athletics,Washington Nationals,Final
746979,2024-04-13T20:10:00Z,Boston Red Sox,Los Angeles Angels,Final
745110,2024-04-13T20:10:00Z,Tampa Bay Rays,San Francisco Giants,Final
746082,2024-04-13T20:10:00Z,Miami Marlins,Atlanta Braves,Final
747215,2024-04-14T00:10:00Z,Arizona Diamondbacks,St. Louis Cardinals,Final
746161,2024-04-14T01:10:00Z,Los Angeles Dodgers,San Diego Padres,Final
745272,2024-04-14T01:40:00Z,Seattle Mariners,Chicago Cubs,Final
746975,2024-04-14T17:35:00Z,Boston Red Sox,Los Angeles Angels,Final
745595,2024-04-14T17:35:00Z,Philadelphia Phillies,Pittsburgh Pirates,Final
747056,2024-04-14T17:35:00Z,Baltimore Orioles,Milwaukee Brewers,Final
744952,2024-04-14T17:37:00Z,Toronto Blue Jays,Colorado Rockies,Final
745841,2024-04-14T17:40:00Z,New York Mets,Kansas City Royals,Final
