gamePk,date,home_team,away_team,status,home_score,away_score
776258,2025-09-20T17:10:00Z,Detroit Tigers,Atlanta Braves,Preview,,
777839,2025-09-20T18:10:00Z,Minnesota Twins,Cleveland Guardians,Preview,,
776243,2025-09-20T23:10:00Z,Minnesota Twins,Cleveland Guardians,Preview,,
776252,2025-09-20T20:10:00Z,New York Mets,Washington Nationals,Preview,,
776254,2025-09-20T22:40:00Z,Cincinnati Reds,Chicago Cubs,Preview,,
776249,2025-09-20T22:40:00Z,Pittsburgh Pirates,Athletics,Preview,,
776247,2025-09-20T23:05:00Z,Tampa Bay Rays,Boston Red Sox,Preview,,
776242,2025-09-20T23:05:00Z,Texas Rangers,Miami Marlins,Preview,,
776257,2025-09-20T23:05:00Z,Baltimore Orioles,New York Yankees,Preview,,
776248,2025-09-20T23:10:00Z,Houston Astros,Seattle Mariners,Preview,,
776245,2025-09-20T23:10:00Z,Kansas City Royals,Toronto Blue Jays,Preview,,
776250,2025-09-20T23:10:00Z,Chicago White Sox,San Diego Padres,Preview,,
776244,2025-09-20T23:15:00Z,St. Louis Cardinals,Milwaukee Brewers,Preview,,
776241,2025-09-21T00:10:00Z,Colorado Rockies,Los Angeles Angels,Preview,,
776246,2025-09-21T00:10:00Z,Arizona Diamondbacks,Philadelphia Phillies,Preview,,
776233,2025-09-21T01:10:00Z,Los Angeles Dodgers,San Francisco Giants,Preview,,
776234,2025-09-21T17:35:00Z,Pittsburgh Pirates,Athletics,Preview,,
776240,2025-09-21T17:35:00Z,Baltimore Orioles,New York Yankees,Preview,,
776239,2025-09-21T17:40:00Z,Cincinnati Reds,Chicago Cubs,Preview,,
776237,2025-09-21T17:40:00Z,New York Mets,Washington Nationals,Preview,,
776238,2025-09-21T17:40:00Z,Detroit Tigers,Atlanta Braves,Preview,,
776228,2025-09-21T18:10:00Z,Houston Astros,Seattle Mariners,Preview,,
776229,2025-09-21T18:10:00Z,Kansas City Royals,Toronto Blue Jays,Preview,,
776225,2025-09-21T18:10:00Z,Minnesota Twins,Cleveland Guardians,Preview,,
