match_time,home_team,away_team,site,market,outcome,odds
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetOnline.ag,spreads,Washington Nationals,2.32
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,DraftKings,h2h,Colorado Rockies,2.34
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,DraftKings,h2h,Washington Nationals,1.61
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,DraftKings,spreads,Colorado Rockies,1.67
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,DraftKings,spreads,Washington Nationals,2.23
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetMGM,h2h,Colorado Rockies,2.35
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetMGM,h2h,Washington Nationals,1.62
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetMGM,spreads,Colorado Rockies,1.65
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetMGM,spreads,Washington Nationals,2.3
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetUS,h2h,Colorado Rockies,2.32
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetUS,h2h,Washington Nationals,1.68
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetUS,spreads,Colorado Rockies,1.67
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetUS,spreads,Washington Nationals,2.3
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,Bovada,h2h,Colorado Rockies,2.31
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,Bovada,h2h,Washington Nationals,1.64
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,Bovada,spreads,Colorado Rockies,1.62
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,Bovada,spreads,Washington Nationals,2.35
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetRivers,h2h,Colorado Rockies,2.38
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetRivers,h2h,Washington Nationals,1.61
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetRivers,spreads,Colorado Rockies,1.62
2025-06-18 23:01:00+00:00,Washington Nationals,Colorado Rockies,BetRivers,spreads,Washington Nationals,2.3
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,FanDuel,h2h,Los Angeles Angels,3.05
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,FanDuel,h2h,New York Yankees,1.4
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,FanDuel,spreads,Los Angeles Angels,2.06
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,FanDuel,spreads,New York Yankees,1.78
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,LowVig.ag,h2h,Los Angeles Angels,3.08
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,LowVig.ag,h2h,New York Yankees,1.43
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,LowVig.ag,spreads,Los Angeles Angels,2.06
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,LowVig.ag,spreads,New York Yankees,1.83
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetOnline.ag,h2h,Los Angeles Angels,3.08
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetOnline.ag,h2h,New York Yankees,1.43
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetOnline.ag,spreads,Los Angeles Angels,2.03
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,BetOnline.ag,spreads,New York Yankees,1.81
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,DraftKings,h2h,Los Angeles Angels,3.0
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,DraftKings,h2h,New York Yankees,1.4
2025-06-18 23:06:00+00:00,New York Yankees,Los Angeles Angels,DraftKings,spreads,Los Angeles Angels,2.04
